Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
ZTE/中兴 ZTE-C S160 电信CDMA手机 自带QQ UC 超长待机 支持耳机,"消费者保障	七天退换",七天退换,"月售8笔	17条评价",广东 深圳,79.80        运费：10.00,wangxingbiao168,8,17
黑莓  超薄  触控  9860  智能手机 官方标配  零通话  到货,"消费者保障	七天退换",七天退换,"月售2笔	27条评价",广东 深圳货到付款,1168.20        运费：20.00           信用卡折扣,fadwu,2,27
正品大显I68高清屏3.5双卡双待半智能男女士直板手机非尼采,"消费者保障	七天退换",七天退换,"月售24笔	10条评价",广东 深圳,145.00        运费：0.00,oujintao88,24,10
最新版长虹 超长待机王A5 直板手机 语音王 大喇叭老人手机,消费者保障,无七天退换,2条评价,广东 深圳,208.00        运费：20.00           信用卡,吴祚江,0,2
4.3寸大屏安卓4.0智能手机i93双模双卡双待6575芯片1G主频GPS,"消费者保障	24小时发货",无七天退换,月售2笔,广东 深圳货到付款,1080.00        运费：0.00           信用卡,华盛数码hs,2,0
BBK/步步高 i289c直板音乐手机正品行货,消费者保障,无七天退换,月售1笔,广东 深圳,240.00        运费：0.00,海龙王数码城,1,0
正品 Samsung/三星 S6700c 300万像素 滑盖音乐手机,"消费者保障	七天退换",七天退换,"月售3笔	4条评价",广东 深圳,300.00        运费：15.00           信用卡,jia家乐520,3,4
新款保时捷汽车遥控器钥匙扣迷你翻盖双卡个性手机最小型儿童手机,消费者保障,无七天退换,"月售32笔	9条评价",广东 深圳,151.90        运费：10.00           信用卡,天使小小妖,32,9
Disney 迪士尼 X51 双卡双待 学生手机 儿童手机 直板卡通首选,"消费者保障	假一赔三	七天退换    品牌授权",七天退换,,北京,396.00        运费：10.00,沙湖印象,0,0
Lenovo/联想 A68e安卓2.3智能手机全网最低 电信3G 电容屏 送礼品,"消费者保障	七天退换",七天退换,"月售2笔	5条评价",广东 深圳,350.00        运费：0.00           信用卡,玲儿宝贝通讯,2,5
天时达T1581 国产智能手机 安卓手机 电容屏 WIFI 无限游戏,"消费者保障	七天退换",七天退换,,广东 深圳,385.00        运费：15.00,金铠五码通信,0,0
正品行货 android安卓智能手机 5.3寸屏 3D导航 500万像素 WIFI,"消费者保障	七天退换",七天退换,"月售3笔	1条评价",广东 深圳货到付款,828.00        运费：10.00,幻炫e族,3,1
